Agency,Name,Age During Show,First Evaluation,Second Evaluation,Final Rank
Independant trainees (No Company),Kang Siwon,20,F,C,36
Independant trainees (No Company),Kim Minjung,14,D,F,45
Independant trainees (No Company),Kim Seokyung,17,B,A,30
Independant trainees (No Company),Kim Sihyun,17,F,D,40
Independant trainees (No Company),Seong Hyemin,27,D,F,28
&August Entertainment,Yoon Seohyung,21,F,D,37
101 Doors,Kim Hayun,22,F,Left the Show,
2able Company,Park Haeyoung,18,A,B,38
Astory Entertainment,Park Gaeul,17,B,C,52
Astory Entertainment,Im Kyungha,19,A,Left the show,
Blessing Entertainment,Kim Dohee,19,F,F,81
Blessing Entertainment,Kim Solee,15,F,F,92
Blessing Entertainment,Bang Joonhee,18,F,C,94
Blessing Entertainment,Ahn Yumi,19,D,F,63
Blessing Entertainment,Oh Han Areum,18,F,F,83
Cani Star Entertainment,Park Hayi,28,F,D,51
Chorokbaem Juna,Ng Sze Kai,22,B,B,23
ChungChun Music,Kang Sira,25,B,B,22
Clear Company,Ma Eunjin,19,F,Left the show,
CMG Chorok Stars,Im Hyosun,18,D,F,Left the show
CUBE Entertainment,Kwon Eunbean,16,A,D,35
CUBE Entertainment,Lee Younseo,14,F,B,59
CUBE Entertainment,Jeon Soyeon,18,A,A,20
DSP Media,Yoon Chaekyung,20,D,C,16
DSP Media,Cho Shiyoon,20,D,D,41
Dublekick Company,Heo Chanmi,24,A,B,26
ECUBE Media,Kim Seola,25,D,F,82
Fantagio Music,Kim Doyeon,17,B,A,8
Fantagio Music,Lee Soomin,17,F,A,31
Fantagio Music,Jung Haerim,18,C,C,47
Fantagio Music,Choi Yoojung,17,D,A,3
Fantagio Music,Chu Yejin,15,F,F,46
FM Entertainment,Yun Yudam,19,B,D,95
Happyface Entertainment,Kim Sihyeon,17,F,B,64
Happyface Entertainment,Kim Woojung,24,B,C,74
Happyface Entertainment,Kim Jayeon,25,F,D,86
Happyface Entertainment,Kim Jisung,20,D,B,68
Happyface Entertainment,Kim Hongeun,17,C,F,80
Happyface Entertainment,Lee Suhyeon,20,D,B,79
Happyface Entertainment,Hwang Sooyeon,24,B,C,39
Happyface Entertainment,Hwang Ayoung,21,D,D,56
Hello Music Entertainment,Kim Dajeong,21,D,C,62
Jellyfish Entertainment,Kang Mina,17,A,A,9
Jellyfish Entertainment,Kim Nayoung,20,A,A,14
Jellyfish Entertainment,Kim Sejeong,20,A,A,2
JYP Entertainment,Jeon Somi,15,A,B,1
Kconic Entertainment,Kim Minji,23,D,F,44
Kconic Entertainment,Kim Hyeongeun,22,C,B,33
Kconic Entertainment,Park Sehee,23,C,F,43
Kconic Entertainment,Lee Jinhee,25,D,F,54
LOEN Entertainment,Park Soyeon,17,A,A,18
LOUDers Entertainment,Kim Boseon,22,D,D,96
LOUDers Entertainment,Lee Seojung,16,F,D,85
LOUDers Entertainment,Hwang Seyoung,22,C,D,67
MNH Entertainment,Kim Chungha,20,A,A,4
MNH Entertainment,Oh Seojung,21,B,A,49
M2 Project,Pyun Kangyoon,24,F,F,78
Magic Fresh Company,Nam Sujin,21,C,C,91
Magic Fresh Company,Park Minji,17,B,A,71
MAJESTY Entertainment,Niwa Shiori,22,D,B,77
MAJESTY Entertainment,Ahn Yeseul,21,B,B,32
MBK Entertainment,Ki Huihyeon,21,C,A,19
MBK Entertainment,Kim Dani,17,B,A,24
MBK Entertainment,Jung Chaeyeon,19,C,C,7
MIDAS Entertainment,Kim Yeonkyung,20,B,C,58
MIDAS Entertainment,Shin Hyehyeon,17,F,C,90
MIDAS Entertainment,Lee Chaelin,17,D,D,87
MIDAS Entertainment,Choi Yubin,17,C,D,88
MIDAS Entertainment,Katherine Lee,15,D,F,89
MIDAS Entertainment,Han Jiyeon,21,D,F,76
MJ Entertainment,Kim Miso,16,D,C,73
MJ Entertainment,Yu Sua,19,A,D,53
MJ Entertainment,Heo Saem,23,C,F,75
Music K Entertainment,Kim Juna,22,C,F,34
The Music Works,Kim Sohee,21,C,C,15
MYSTIC Entertainment,Kim Suhyun,16,C,D,69
NEXTLEVEL Entertainment,Lee Seheun,17,B,C,93
NEXTAR Entertainment,Moon Hyunju,18,F,F,97
NEXTAR Entertainment,Choi Eunbin,23,C,C,70
NH EMG,Hwang Riyu,18,F,F,66
PLEDIS Entertainment,Kang Kyungwon,19,C,D,48
PLEDIS Entertainment,Kang Yebin,18,A,A,29
PLEDIS Entertainment,Kim Minkyung,19,F,B,42
PLEDIS Entertainment,Park Xiyeon,16,B,B,25
PLEDIS Entertainment,Im Nayoung,21,B,A,10
PLEDIS Entertainment,Jung Eunwoo,18,D,B,21
PLEDIS Entertainment,Zhou Kyulkyung,18,A,A,6
RED Line Entertainment,Kim Sohye,17,F,F,5
Show Works Entertainment,Hwang Insun,27,D,C,27
SS Entertainment,Seo Hyelin,21,F,D,65
SS Entertainment,Lee Suhyun,20,D,A,13
SS Entertainment,Lee Haein,22,C,A,17
Star Empire Entertainment,Kang Sihyeon,18,C,F,61
Star Empire Entertainment,Kim Yunji,20,C,B,84
Star Empire Entertainment,Han Hyeri,19,C,D,12
Star Planet Company,Ham Yeji,22,D,F,72
Starship Entertainment,Kim Taeha,18,B,D,50
Starship Entertainment,Shim Chaeeun,17,C,F,60
Starship Entertainment,Yu Yeonjung,17,B,A,11
Tipping Entertainment,Ariyoshi Risa,23,F,F,55
Yama&HotChicks Entertainment,Im Jungmin,16,B,B,57
